"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"907","RT @LaLaLand: Watch #LALALAND director Damien Chazelle work with cameraman Ari Robbins to execute a precision whip pan in this behind-the-s‚Ä¶",FALSE,0,NA,2017-02-05 22:12:39,FALSE,NA,"828365750138179586",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GabrielleFault",1351,TRUE,FALSE,NA,NA
"908","me right now #LaLaLand https://t.co/YjvUGWag2a",FALSE,0,"eddievf",2017-02-05 22:12:08,FALSE,"828363526259486720","828365619452051456","72981933","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eddievf",0,FALSE,FALSE,NA,NA
"909","RT @IndieWire: How #LaLaLand Cinematographer Linus Sandgren Taught His Camera to Dance https://t.co/CMc8HuQE0C https://t.co/3Zqje0Ccv2",FALSE,0,NA,2017-02-05 22:12:00,FALSE,NA,"828365587185356800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GabrielleFault",190,TRUE,FALSE,NA,NA
"910","Ancora premi per #LaLaLand! A #damienchazelle il Director Guild of American Award 2017!! congrats Ì†ºÌæâÌ†ºÌæâ https://t.co/vLyZszvaP2",FALSE,17,NA,2017-02-05 22:11:54,FALSE,NA,"828365562132721664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","01Distribution",5,FALSE,FALSE,NA,NA
"911","La La Land made records for the 14 Oscar nominations it received this year. 

 https://t.co/zMkapYm40h

#LaLaLand‚Ä¶ https://t.co/z91eCGdMOn",FALSE,0,NA,2017-02-05 22:11:53,TRUE,NA,"828365556621406208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cosplaycitymag",0,FALSE,FALSE,NA,NA
"912","#LaLaLandMovie  #LALALAND cool movie ! :)",FALSE,0,NA,2017-02-05 22:11:26,FALSE,NA,"828365444314693638",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Beubx",0,FALSE,FALSE,NA,NA
"913","okay so #LaLaLand was nice.. i mean not really original but kinda entertaining..",FALSE,1,NA,2017-02-05 22:11:00,FALSE,NA,"828365332259672064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","221BadWolf",0,FALSE,FALSE,NA,NA
"914","RT @ThePlaylist: #DamienChazelle won Best Director at the #DGAAwards for #LALALAND #LaLaLandMovie https://t.co/rTSdeg01xK https://t.co/jx2u‚Ä¶",FALSE,0,NA,2017-02-05 22:09:58,FALSE,NA,"828365073236246528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Christoph_errr",17,TRUE,FALSE,NA,NA
"915","But why Ryan Gosling,he is so rigid..someone a little flexible wld have made the scenes more natural #startups #entrepreneur #tech #lalaland",FALSE,0,NA,2017-02-05 22:09:10,FALSE,NA,"828364870781394945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","niaghan",0,FALSE,FALSE,NA,NA
"916","RT @laura_woodsy: Went to see #LaLaLand.
Me at the start: This is overrated 
Me at the end: https://t.co/vuHPlbYrTq",FALSE,0,NA,2017-02-05 22:08:58,FALSE,NA,"828364820500054018",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jsbarker22",3,TRUE,FALSE,NA,NA
"917","The ending is so heartbreaking Ì†ΩÌ≤î #LaLaLand",FALSE,0,NA,2017-02-05 22:08:21,FALSE,NA,"828364665436639232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","starmillennial",0,FALSE,FALSE,NA,NA
"918","""City of stars, are you shining just for me?"" #lalaland #jaime #CityOfStars Ì†ºÌºåÌ†ΩÌ∏ç",FALSE,0,NA,2017-02-05 22:07:53,FALSE,NA,"828364549061541889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Meliiidu",0,FALSE,FALSE,NA,NA
"919","RT @LaLaLand: Love can change your life. ‚ù§Ô∏è @RyanGosling and Emma Stone make movie magic in #LALALAND. Now playing in theaters. https://t.c‚Ä¶",FALSE,0,NA,2017-02-05 22:07:21,FALSE,NA,"828364413245784064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MissMelanieD",346,TRUE,FALSE,NA,NA
"920","RT @itscolfercriss: ""City of stars, are you shining just for me?"" 

#LALALAND https://t.co/MAkHqQ47Pz",FALSE,0,NA,2017-02-05 22:07:16,FALSE,NA,"828364393616384002",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ohwatson94",40,TRUE,FALSE,NA,NA
"921","Somebody get me some f*cking tissues !!! #LaLaLand",FALSE,0,NA,2017-02-05 22:06:56,FALSE,NA,"828364312309858305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","starmillennial",0,FALSE,FALSE,NA,NA
"922","RT @IMAX: We‚Äôre bringing music to your ears. RT for your chance to win a record player and #LaLaLand vinyl soundtrack! https://t.co/SuWtjCo‚Ä¶",FALSE,0,NA,2017-02-05 22:06:29,FALSE,NA,"828364197562036224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GoodMoviesNinja",4810,TRUE,FALSE,NA,NA
"923","What an AMAZING MOVIE #LaLaLand",FALSE,0,NA,2017-02-05 22:06:19,FALSE,NA,"828364155086307329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","starmillennial",0,FALSE,FALSE,NA,NA
